neighborhood_id,year,diabetes_prev,median_income,poverty_rate,age_65_plus,unemployment_rate,pm25,food_access_index
N1,2022,0.15518953237928043,67450.71229516849,0.14032149891801707,0.19238442690503463,0.10569089569224076,9.297539875829992,0.5531726086101638
N2,2022,0.13942528894319334,83688.19223261088,0.20372043104070361,0.1365262807032524,0.07627680130757894,8.609746921562614,0.5068540492859486
N3,2022,0.03,63629.43407349051,0.02,0.07375410837434836,0.04313137412277082,6.961506638996728,0.6628494665190547
N4,2022,0.17522674109124098,46379.638867181835,0.051138740906529576,0.2332824384460777,0.05322671098540393,10.202584614063772,0.31505036275730863
N5,2022,0.13407557212679488,51834.25913212226,0.15776458127969062,0.10245032112888486,0.07127094055037016,8.198083930243586,0.5416612500413446
N6,2022,0.2534338847674029,50974.40081655905,0.27965947291562565,0.1593251387631033,0.02826867213132299,12.467634736309567,0.3558312700057955
N7,2022,0.0948520545327299,63132.95392507133,0.02,0.09359069755507847,0.0659058370760737,12.215399739986232,0.634273656237994
N8,2022,0.08184531800027194,58265.27576417639,0.12892274130874978,0.08607390048162863,0.038404673748158744,8.618083687120638,0.8114244452437831
N9,2022,0.06549018137874443,65154.27434352692,0.026587189124608612,0.17620419846973975,0.0484475315875105,7.969233999082124,0.7223352577681735
N10,2022,0.13659431379402717,75464.99283743926,0.2151896083381339,0.11803912383886808,0.05072362872446356,10.993790294210692,0.7951090254244718
N11,2022,0.12546787196692755,52812.38643232065,0.13700387163353278,0.10468325129969859,0.024113801277579873,12.437577467182594,0.8712480057141645
N12,2022,0.1608140316486985,58919.848176294996,0.2202473028524417,0.1780818012523817,0.04064640736184627,11.084186816525241,0.9076073132931939
N13,2022,0.17487038703215527,59462.60941335073,0.25952505590698044,0.05,0.08465707513125671,10.261141204714514,0.5401985299068265
N14,2022,0.1501734111711937,61376.41164803253,0.02,0.1490164056081244,0.07071337714535239,14.433682134224547,0.4963459563452705
N15,2022,0.13762359047124173,47872.595956602185,0.11487700694908243,0.20577010588510372,0.06986253328979053,8.410719388698883,0.7026534866226712
N16,2022,0.1806761815756311,61456.16324022061,0.21780514933730225,0.12489734530613239,0.05017013560206695,8.823675540603528,0.30729701037357626
N17,2022,0.11748870670824907,64441.80415596864,0.16827386905259226,0.16025567283212305,0.05296238599874559,5.753887773848757,0.5158709354469282
N18,2022,0.18577599445527243,54859.282252098456,0.09384059115448667,0.15193571441669954,0.07212152570443615,15.65855770363159,0.6349155625663677
N19,2022,0.07691851331375574,63863.25586084147,0.1447887858963683,0.06406143923504792,0.05920458373652349,10.18069062982308,1.0
N20,2022,0.17304201906747727,57114.58552828316,0.17110831396335285,0.15826441151473783,0.024939658871414035,13.42846844354506,0.7503866065373548
N21,2022,0.10290819316139754,71865.47920564571,0.08634287816436827,0.23013971554680496,0.01794446811623157,11.76057128140081,1.0
N22,2022,0.09958446257159562,45141.955123039676,0.11035915892780596,0.16498256825438207,0.04489573037651402,5.3480097068016015,0.6137125949612054
N23,2022,0.15764701823430124,44065.44429410843,0.1831514701444627,0.11402878828830984,0.10649803215052618,7.650240122991288,0.5355876967588649
N24,2022,0.06267062221657785,72202.75826054504,0.06383949784962312,0.17137299673020648,0.09921428262847284,5.177550296316317,0.6369267717064608
N25,2022,0.15123435165820465,63898.24191372635,0.20472760102441173,0.0981524644560959,0.020386301607471707,11.565824696850694,0.6593969346466372
N26,2022,0.1702155110295036,63757.39275518815,0.1742513746647883,0.12599876392107545,0.06696761091483011,10.879217419896044,0.45712971639472644
N27,2022,0.07636833113045327,87986.61766717135,0.18316830446382512,0.10043482513986757,0.0796966082590149,7.075954989318036,0.7574169207484904
N28,2022,0.1132952340480806,77378.93368511106,0.09255223771538026,0.20816880646221608,0.07238342780809495,12.46618047998347,0.9793585965307895
N29,2022,0.10520254020510188,56319.17825995694,0.09723846849497572,0.11552427851872384,0.03552569145103685,9.768694871757688,0.6682303949633288
N30,2022,0.12998729682703222,64150.36198995029,0.20790282743252167,0.16065009459389534,0.10360602231471949,9.206029500286132,1.0
N31,2022,0.08246213178279406,69385.01021647509,0.08999897105086022,0.10645537509694439,0.07447417245729555,9.329611644022448,0.7428000988184184
N32,2022,0.08854781250938305,67098.56436860317,0.1449019761140189,0.11766031409657976,0.014554583259424062,8.660455143798936,0.7712797588646945
N33,2022,0.0872273009953075,63211.40616195306,0.06279828549016082,0.1686590462925591,0.0715595213918651,7.348427691396601,0.6307450211891056
N34,2022,0.1372707147020465,60873.13077669,0.06999207915185637,0.17788936801741417,0.07682353579104703,13.249153729525831,0.8107604104069805
N35,2022,0.1306656147045175,39334.959480643636,0.0843522472059414,0.185751763360433,0.07541357852736626,11.545143058918143,1.0
N36,2022,0.16681339247581636,68563.35766039751,0.22948959481264192,0.20770008817466012,0.07954173753917393,9.054192266078964,0.7517938440986535
N37,2022,0.254957309700265,48407.621781936425,0.13342269752819938,0.13573182260854483,0.06245622418158967,16.943975700020527,0.22654696148165032
N38,2022,0.11748807447748474,70293.9028556177,0.037109889016724365,0.13640340671052834,0.09266851790902098,10.192840057286388,0.38445104441413874
N39,2022,0.184500706820036,49270.444361100475,0.1975718424254273,0.12348166841414317,0.06649375768745924,10.13671551971144,0.46967993047883655
N40,2022,0.0694298977348008,92159.16133987988,0.19437433156226078,0.05874287066711964,0.06559362944308282,8.014640605694836,0.7704866669592447
N41,2022,0.1421256635702906,48112.188923509486,0.14196844909731707,0.18524936394902286,0.08597265582510363,6.3991107788326715,0.5330997528318103
N42,2022,0.11155890745418573,52875.82033258566,0.10426695371984016,0.24827271201405485,0.07214945132882866,6.217348136994865,0.7835723894109552
N43,2022,0.17354145420170922,91832.3429551895,0.22227256823858027,0.08403150170229932,0.04547297781401246,13.800733447559868,0.4584661068762438
N44,2022,0.07402108548839959,66657.29142219343,0.20422438374005358,0.11365347642109586,0.058214239318146,0.2761979797927818,0.39512247173314197
N45,2022,0.11893976832046098,56211.4777291026,0.06265517726246052,0.24162056519658176,0.017095758661181022,8.67986653990905,0.6261481154572183
N46,2022,0.06699828606272194,81619.09933599173,0.04948964941743923,0.218158187607748,0.06030699183058761,7.055474046856148,0.6924206948526541
N47,2022,0.11910608856674793,62985.895433602054,0.10798481859888437,0.16349010424950094,0.048440592094147195,10.340552035753744,0.7324261349042094
N48,2022,0.0972265174297529,83790.25224218029,0.06335291508212056,0.2666516687328133,0.01,9.54464471489325,0.7176634412969153
N49,2022,0.08759671141693894,64214.87801602549,0.10641103361255842,0.14959388748213626,0.04520997196023501,8.231905729167366,0.7699204194042049
N50,2022,0.15237438102668094,65355.23228947571,0.1014963283317542,0.20497999377166254,0.06921898562629827,12.43858635651688,0.7259257683847224
